,0
0,North Dakota
1,Arkansas
2,California
3,Ohio
4,Indiana
5,Iowa
6,Massachusetts
7,Illinois
8,New Hampshire
9,Delaware
10,New Jersey
11,Idaho
12,New Mexico
13,Tennessee
14,Washington
15,Hawaii
16,Oklahoma
17,Rhode Island
18,Louisiana
19,Colorado
20,Wisconsin
21,Alaska
22,Mississippi
23,North Carolina
24,Missouri
25,Kansas
26,Alabama
27,Connecticut
28,South Carolina
29,Virginia
30,Pennsylvania
31,Utah
32,New York
33,Minnesota
34,South Dakota
35,Vermont
36,West Virginia
37,Montana
38,Maryland
39,Florida
40,Georgia
41,Oregon
42,Michigan
43,Nebraska
44,Kentucky
45,Maine
46,Arizona
47,Texas
48,Wyoming
49,Nevada
